"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2022-02-24 13:59:44,254000","","","CAN","32","STD: 0x0000048a   cf 0c 01 00 00 02 00 c0"
"2","2022-02-24 13:59:44,254000","","","CAN","32","STD: 0x00000380   00 84 00 00 00 00 00 0a"
"3","2022-02-24 13:59:44,254000","","","CAN","32","STD: 0x000003a0   02 0d 00 00 00 00 00 0f"
"4","2022-02-24 13:59:44,254000","","","CAN","32","STD: 0x00000488   41 1d 1d 74 a5 ff ff 90"
"5","2022-02-24 13:59:44,254000","","","CAN","32","STD: 0x000004a0   00 00 00 00 00 00 00 00"
"6","2022-02-24 13:59:44,254000","","","CAN","32","STD: 0x00000540   90 00 00 00 00 00 20 00"
"7","2022-02-24 13:59:44,254000","","","CAN","32","STD: 0x00000588   e9 00 74 84 00 80 00 8b"
"8","2022-02-24 13:59:44,254000","","","CAN","32","STD: 0x000005a0   7f 00 00 d0 00 00 00 2b"
"9","2022-02-24 13:59:44,254000","","","CAN","32","STD: 0x00000050   00 00 70 70"
"10","2022-02-24 13:59:44,254000","","","CAN","32","STD: 0x000002a0   00 00 00 00 00 00 b0 b0"
"11","2022-02-24 13:59:44,254000","","","CAN","32","STD: 0x000001a0   00 00 00 00 00 fe 00 0b"
"12","2022-02-24 13:59:44,254000","","","CAN","32","STD: 0x00000280   09 1a 30 0c 05 00 17 0a"
"13","2022-02-24 13:59:44,270000","","","CAN","32","STD: 0x00000380   00 84 00 00 00 00 00 0a"
"14","2022-02-24 13:59:44,270000","","","CAN","32","STD: 0x00000488   71 1d 1d 74 a5 ff ff a0"
"15","2022-02-24 13:59:44,270000","","","CAN","32","STD: 0x000004a0   00 00 00 00 00 00 00 00"
"16","2022-02-24 13:59:44,270000","","","CAN","32","STD: 0x000004a8   fe 7f 00 20 00 00 e0 41"
"17","2022-02-24 13:59:44,270000","","","CAN","32","STD: 0x00000540   a0 00 00 00 00 00 20 00"
"18","2022-02-24 13:59:44,287000","","","CAN","32","STD: 0x000002a0   00 00 00 00 00 00 c0 c0"
"19","2022-02-24 13:59:44,288000","","","CAN","32","STD: 0x000001a0   00 00 00 00 00 fe 00 0c"
"20","2022-02-24 13:59:44,288000","","","CAN","32","STD: 0x00000280   09 1a 30 0c 05 00 17 0a"
"21","2022-02-24 13:59:44,288000","","","CAN","32","STD: 0x00000288   d4 b4 10 00 00 4e 86 0f"
"22","2022-02-24 13:59:44,288000","","","CAN","32","STD: 0x00000480   e2 20 b2 10 00 00 02 62"
"23","2022-02-24 13:59:44,288000","","","CAN","32","STD: 0x0000048a   df 0c 01 00 00 02 00 d0"
"24","2022-02-24 13:59:44,288000","","","CAN","32","STD: 0x00000320   04 02 14 01 00 04 00 88"
"25","2022-02-24 13:59:44,288000","","","CAN","32","STD: 0x00000520   06 08 02 1d 26 17 ef 00"
"26","2022-02-24 13:59:44,288000","","","CAN","32","STD: 0x00000570   87 00 b1 00 00"
"27","2022-02-24 13:59:44,288000","","","CAN","32","STD: 0x0000035f   00 00 00 00 00 00 00 00"
"28","2022-02-24 13:59:44,288000","","","CAN","32","STD: 0x00000390   00 00 40 00 00 00 00 00"
"29","2022-02-24 13:59:44,288000","","","CAN","32","STD: 0x00000392   00 00 00 80 00 00 00 00"
"30","2022-02-24 13:59:44,288000","","","CAN","32","STD: 0x000005dc   2d 00 a0 01 08 00 00 00"
"31","2022-02-24 13:59:44,288000","","","CAN","32","STD: 0x00000380   00 84 00 00 00 00 00 0a"
"32","2022-02-24 13:59:44,288000","","","CAN","32","STD: 0x00000488   61 1d 1d 74 a5 ff ff b0"
"33","2022-02-24 13:59:44,288000","","","CAN","32","STD: 0x000003a0   01 0e 00 00 00 00 00 0f"
"34","2022-02-24 13:59:44,288000","","","CAN","32","STD: 0x000004a0   00 00 00 00 00 00 00 00"
"35","2022-02-24 13:59:44,288000","","","CAN","32","STD: 0x00000540   b0 00 00 00 00 00 20 00"
"36","2022-02-24 13:59:44,288000","","","CAN","32","STD: 0x00000588   e9 00 74 80 00 80 00 8b"
"37","2022-02-24 13:59:44,288000","","","CAN","32","STD: 0x000005a0   7f 00 00 e0 00 00 00 2b"
"38","2022-02-24 13:59:44,288000","","","CAN","32","STD: 0x00000050   00 00 80 80"
"39","2022-02-24 13:59:44,288000","","","CAN","32","STD: 0x00000550   00 00 00 00 00 00 00 00"
"40","2022-02-24 13:59:44,288000","","","CAN","32","STD: 0x00000280   09 1a 30 0c 05 00 17 0a"
"41","2022-02-24 13:59:44,288000","","","CAN","32","STD: 0x000001a0   00 00 00 00 00 fe 00 0d"
"42","2022-02-24 13:59:44,288000","","","CAN","32","STD: 0x000002a0   00 00 00 00 00 00 d0 d0"
"43","2022-02-24 13:59:44,289000","","","CAN","32","STD: 0x00000470   40 00 00 00 00 00 00 1f"
"44","2022-02-24 13:59:44,291000","","","CAN","32","STD: 0x00000380   00 84 00 00 00 00 00 0a"
"45","2022-02-24 13:59:44,292000","","","CAN","32","STD: 0x00000488   11 1d 1d 74 a5 ff ff c0"
"46","2022-02-24 13:59:44,292000","","","CAN","32","STD: 0x000004a0   00 00 00 00 00 00 00 00"
"47","2022-02-24 13:59:44,292000","","","CAN","32","STD: 0x000004a8   fe 7f 00 20 00 00 f0 51"
"48","2022-02-24 13:59:44,292000","","","CAN","32","STD: 0x00000540   c0 00 00 00 00 00 20 00"
"49","2022-02-24 13:59:44,297000","","","CAN","32","STD: 0x000002a0   00 00 00 00 00 00 e0 e0"
"50","2022-02-24 13:59:44,297000","","","CAN","32","STD: 0x000001a0   00 00 00 00 00 fe 00 0e"
"51","2022-02-24 13:59:44,297000","","","CAN","32","STD: 0x00000280   09 1a 30 0c 05 00 17 0a"
"52","2022-02-24 13:59:44,297000","","","CAN","32","STD: 0x00000288   d4 b4 10 00 00 4e 86 0f"
"53","2022-02-24 13:59:44,297000","","","CAN","32","STD: 0x00000480   e2 20 c0 10 00 00 02 10"
"54","2022-02-24 13:59:44,298000","","","CAN","32","STD: 0x0000048a   ef 0c 01 00 00 02 00 e0"
"55","2022-02-24 13:59:44,299000","","","CAN","32","STD: 0x000005d0   85 02 50 0f 00 59 c0 00"
"56","2022-02-24 13:59:44,302000","","","CAN","32","STD: 0x00000380   00 84 00 00 00 00 00 0a"
"57","2022-02-24 13:59:44,302000","","","CAN","32","STD: 0x00000488   01 1d 1d 74 a5 ff ff d0"
"58","2022-02-24 13:59:44,302000","","","CAN","32","STD: 0x000003a0   00 0f 00 00 00 00 00 0f"
"59","2022-02-24 13:59:44,302000","","","CAN","32","STD: 0x000004a0   00 00 00 00 00 00 00 00"
"60","2022-02-24 13:59:44,302000","","","CAN","32","STD: 0x00000540   d0 00 00 00 00 00 20 00"
"61","2022-02-24 13:59:44,303000","","","CAN","32","STD: 0x00000588   e9 00 74 80 00 80 00 8b"
