"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2022-02-24 14:01:41,472000","","","CAN","32","STD: 0x00000728   01 03 05 00 04 00 00"
"2","2022-02-24 14:01:41,472000","","","CAN","32","STD: 0x0000035f   00 00 00 00 00 00 00 00"
"3","2022-02-24 14:01:41,472000","","","CAN","32","STD: 0x00000390   00 00 40 00 00 00 00 00"
"4","2022-02-24 14:01:41,472000","","","CAN","32","STD: 0x00000392   00 00 00 80 00 00 00 00"
"5","2022-02-24 14:01:41,472000","","","CAN","32","STD: 0x00000470   40 00 00 00 00 00 00 1f"
"6","2022-02-24 14:01:41,472000","","","CAN","32","STD: 0x00000570   01 00 a5 00 00"
"7","2022-02-24 14:01:41,472000","","","CAN","32","STD: 0x000005d0   85 02 50 0f 00 59 40 00"
"8","2022-02-24 14:01:41,472000","","","CAN","32","STD: 0x000005dc   2d 00 a0 01 08 00 00 00"
"9","2022-02-24 14:01:41,487000","","","CAN","32","STD: 0x00000727   01 01 04 00 04 00 00"
"10","2022-02-24 14:01:41,487000","","","CAN","32","STD: 0x00000470   c0 00 00 00 00 00 00 1f"
"11","2022-02-24 14:01:41,503000","","","CAN","32","STD: 0x00000050   00 05 00 05"
"12","2022-02-24 14:01:41,503000","","","CAN","32","STD: 0x00000550   00 00 00 00 00 00 00 00"
"13","2022-02-24 14:01:41,534000","","","CAN","32","STD: 0x00000280   09 00 00 00 00 00 00 13"
"14","2022-02-24 14:01:41,534000","","","CAN","32","STD: 0x00000050   00 05 10 15"
"15","2022-02-24 14:01:41,534000","","","CAN","32","STD: 0x00000380   00 86 00 00 00 00 00 10"
"16","2022-02-24 14:01:41,534000","","","CAN","32","STD: 0x00000488   76 00 16 75 a5 ff ff b0"
"17","2022-02-24 14:01:41,534000","","","CAN","32","STD: 0x00000540   b0 00 00 00 00 00 20 00"
"18","2022-02-24 14:01:41,534000","","","CAN","32","STD: 0x00000280   09 00 00 00 00 00 00 13"
"19","2022-02-24 14:01:41,534000","","","CAN","32","STD: 0x00000288   51 b6 00 00 00 4e 6c 10"
"20","2022-02-24 14:01:41,534000","","","CAN","32","STD: 0x00000480   59 2c 00 00 00 00 02 77"
"21","2022-02-24 14:01:41,534000","","","CAN","32","STD: 0x0000048a   62 00 00 00 00 02 00 60"
"22","2022-02-24 14:01:41,534000","","","CAN","32","STD: 0x00000320   02 02 00 01 00 09 00 80"
"23","2022-02-24 14:01:41,534000","","","CAN","32","STD: 0x00000470   c0 00 00 00 00 00 00 1f"
"24","2022-02-24 14:01:41,550000","","","CAN","32","STD: 0x00000380   00 86 00 00 00 00 00 10"
"25","2022-02-24 14:01:41,550000","","","CAN","32","STD: 0x00000488   06 00 16 75 a5 ff ff c0"
"26","2022-02-24 14:01:41,550000","","","CAN","32","STD: 0x00000540   c0 00 00 00 00 00 20 00"
"27","2022-02-24 14:01:41,550000","","","CAN","32","STD: 0x00000588   e0 00 75 80 00 00 00 8d"
"28","2022-02-24 14:01:41,550000","","","CAN","32","STD: 0x00000280   09 00 00 00 00 00 00 13"
"29","2022-02-24 14:01:41,550000","","","CAN","32","STD: 0x00000050   00 05 20 25"
"30","2022-02-24 14:01:41,550000","","","CAN","32","STD: 0x00000380   00 86 00 00 00 00 00 10"
"31","2022-02-24 14:01:41,550000","","","CAN","32","STD: 0x00000488   16 00 16 75 a5 ff ff d0"
"32","2022-02-24 14:01:41,550000","","","CAN","32","STD: 0x00000540   d0 00 00 00 00 00 20 00"
"33","2022-02-24 14:01:41,565000","","","CAN","32","STD: 0x00000280   09 00 00 00 00 00 00 13"
"34","2022-02-24 14:01:41,565000","","","CAN","32","STD: 0x00000288   51 b6 00 00 00 4e 6c 10"
"35","2022-02-24 14:01:41,565000","","","CAN","32","STD: 0x00000480   59 2c 00 00 00 00 02 77"
"36","2022-02-24 14:01:41,565000","","","CAN","32","STD: 0x0000048a   72 00 00 00 00 02 00 70"
"37","2022-02-24 14:01:41,565000","","","CAN","32","STD: 0x00000380   00 86 00 00 00 00 00 10"
"38","2022-02-24 14:01:41,565000","","","CAN","32","STD: 0x00000488   26 00 16 75 a5 ff ff e0"
"39","2022-02-24 14:01:41,565000","","","CAN","32","STD: 0x00000540   e0 00 00 00 00 00 20 00"
"40","2022-02-24 14:01:41,565000","","","CAN","32","STD: 0x00000588   e0 00 75 80 00 00 00 8d"
"41","2022-02-24 14:01:41,565000","","","CAN","32","STD: 0x00000320   82 02 00 01 00 0a 00 90"
"42","2022-02-24 14:01:41,565000","","","CAN","32","STD: 0x00000420   82 00 00 00 08 00 00 04"
"43","2022-02-24 14:01:41,565000","","","CAN","32","STD: 0x00000280   09 00 00 00 00 00 00 13"
"44","2022-02-24 14:01:41,565000","","","CAN","32","STD: 0x00000050   00 05 30 35"
"45","2022-02-24 14:01:41,565000","","","CAN","32","STD: 0x00000570   07 00 a2 05 00"
"46","2022-02-24 14:01:41,565000","","","CAN","32","STD: 0x0000035f   00 00 00 00 00 00 00 00"
"47","2022-02-24 14:01:41,565000","","","CAN","32","STD: 0x00000390   00 00 40 00 00 00 00 00"
"48","2022-02-24 14:01:41,565000","","","CAN","32","STD: 0x00000392   00 00 00 80 00 00 00 00"
"49","2022-02-24 14:01:41,565000","","","CAN","32","STD: 0x000005d0   85 02 50 0f 00 59 c0 00"
"50","2022-02-24 14:01:41,565000","","","CAN","32","STD: 0x000005dc   2d 00 a0 01 08 00 00 00"
"51","2022-02-24 14:01:41,565000","","","CAN","32","STD: 0x00000380   00 86 00 00 00 00 00 10"
"52","2022-02-24 14:01:41,565000","","","CAN","32","STD: 0x00000488   36 00 16 75 a5 ff ff f0"
"53","2022-02-24 14:01:41,581000","","","CAN","32","STD: 0x00000540   f0 00 00 00 00 00 20 00"
"54","2022-02-24 14:01:41,581000","","","CAN","32","STD: 0x00000280   09 00 00 00 00 00 00 13"
"55","2022-02-24 14:01:41,581000","","","CAN","32","STD: 0x00000288   51 b6 00 00 00 4e 6c 10"
"56","2022-02-24 14:01:41,581000","","","CAN","32","STD: 0x00000480   59 2c 00 00 00 00 02 77"
"57","2022-02-24 14:01:41,581000","","","CAN","32","STD: 0x0000048a   82 00 00 00 00 02 00 80"
"58","2022-02-24 14:01:41,581000","","","CAN","32","STD: 0x00000380   00 86 00 00 00 00 00 10"
"59","2022-02-24 14:01:41,581000","","","CAN","32","STD: 0x00000488   39 00 16 75 a5 ff 00 00"
"60","2022-02-24 14:01:41,581000","","","CAN","32","STD: 0x00000540   00 00 00 00 00 00 20 00"
"61","2022-02-24 14:01:41,581000","","","CAN","32","STD: 0x00000588   e0 00 75 80 00 00 00 8d"
"62","2022-02-24 14:01:41,581000","","","CAN","32","STD: 0x00000280   09 00 00 00 00 00 00 13"
"63","2022-02-24 14:01:41,581000","","","CAN","32","STD: 0x00000050   00 05 40 45"
"64","2022-02-24 14:01:41,597000","","","CAN","32","STD: 0x00000320   82 02 00 01 00 0b 00 98"
"65","2022-02-24 14:01:41,597000","","","CAN","32","STD: 0x00000470   c0 00 00 00 00 00 00 1f"
"66","2022-02-24 14:01:41,597000","","","CAN","32","STD: 0x00000520   06 08 00 21 26 17 ef 00"
"67","2022-02-24 14:01:41,597000","","","CAN","32","STD: 0x00000380   00 86 00 00 00 00 00 11"
"68","2022-02-24 14:01:41,597000","","","CAN","32","STD: 0x00000488   38 00 16 75 a5 ff 11 10"
"69","2022-02-24 14:01:41,597000","","","CAN","32","STD: 0x00000540   10 00 00 00 00 00 20 00"
"70","2022-02-24 14:01:41,597000","","","CAN","32","STD: 0x00000723   01 03 01 00 04 00 00"
"71","2022-02-24 14:01:41,597000","","","CAN","32","STD: 0x00000280   09 00 00 00 00 00 00 13"
"72","2022-02-24 14:01:41,597000","","","CAN","32","STD: 0x00000288   8f b6 00 00 00 4e 6c 10"
"73","2022-02-24 14:01:41,597000","","","CAN","32","STD: 0x00000480   94 2c 00 00 00 00 02 ba"
"74","2022-02-24 14:01:41,597000","","","CAN","32","STD: 0x0000048a   92 00 00 00 00 02 00 90"
"75","2022-02-24 14:01:41,597000","","","CAN","32","STD: 0x00000380   00 86 00 00 00 00 00 11"
"76","2022-02-24 14:01:41,597000","","","CAN","32","STD: 0x00000488   98 00 16 75 a5 ff 81 20"
"77","2022-02-24 14:01:41,597000","","","CAN","32","STD: 0x00000540   20 00 00 00 00 00 20 00"
"78","2022-02-24 14:01:41,597000","","","CAN","32","STD: 0x00000588   e0 00 75 80 00 00 00 8d"
"79","2022-02-24 14:01:41,612000","","","CAN","32","STD: 0x00000280   09 00 00 00 00 00 00 13"
"80","2022-02-24 14:01:41,612000","","","CAN","32","STD: 0x00000050   00 05 50 55"
"81","2022-02-24 14:01:41,612000","","","CAN","32","STD: 0x00000380   00 86 00 00 00 00 00 10"
"82","2022-02-24 14:01:41,612000","","","CAN","32","STD: 0x00000488   f6 00 16 75 a5 ff ff 30"
"83","2022-02-24 14:01:41,612000","","","CAN","32","STD: 0x00000540   30 00 00 00 00 00 20 00"
"84","2022-02-24 14:01:41,612000","","","CAN","32","STD: 0x00000320   82 02 00 01 00 0c 00 98"
"85","2022-02-24 14:01:41,612000","","","CAN","32","STD: 0x00000621   20 21 26 00 10 00 fd 00"
"86","2022-02-24 14:01:41,612000","","","CAN","32","STD: 0x00000280   09 00 00 00 00 00 00 13"
"87","2022-02-24 14:01:41,612000","","","CAN","32","STD: 0x00000288   8f b6 00 00 00 4e 6c 10"
"88","2022-02-24 14:01:41,612000","","","CAN","32","STD: 0x00000480   94 2c 00 00 00 00 02 ba"
"89","2022-02-24 14:01:41,612000","","","CAN","32","STD: 0x0000048a   a2 00 00 00 00 02 00 a0"
"90","2022-02-24 14:01:41,628000","","","CAN","32","STD: 0x00000380   00 86 00 00 00 00 00 10"
"91","2022-02-24 14:01:41,628000","","","CAN","32","STD: 0x00000488   86 00 16 75 a5 ff ff 40"
"92","2022-02-24 14:01:41,628000","","","CAN","32","STD: 0x000003a0   0f 00 00 00 00 00 00 0f"
"93","2022-02-24 14:01:41,628000","","","CAN","32","STD: 0x000004a0   00 00 00 00 00 00 00 00"
"94","2022-02-24 14:01:41,628000","","","CAN","32","STD: 0x00000540   40 00 00 00 00 00 20 00"
"95","2022-02-24 14:01:41,628000","","","CAN","32","STD: 0x00000588   e0 00 75 80 00 00 00 8d"
"96","2022-02-24 14:01:41,628000","","","CAN","32","STD: 0x000005a0   2b 01 00 05 00 00 00 2b"
