"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2022-02-24 14:04:14,845000","","","CAN","32","STD: 0x00000728   01 03 05 00 04 00 00"
"2","2022-02-24 14:04:14,845000","","","CAN","32","STD: 0x0000035f   00 00 00 00 00 00 00 00"
"3","2022-02-24 14:04:14,845000","","","CAN","32","STD: 0x00000390   00 00 40 00 00 00 00 00"
"4","2022-02-24 14:04:14,845000","","","CAN","32","STD: 0x00000392   00 00 00 80 00 00 00 00"
"5","2022-02-24 14:04:14,845000","","","CAN","32","STD: 0x00000570   01 00 a1 00 00"
"6","2022-02-24 14:04:14,845000","","","CAN","32","STD: 0x000005dc   2d 00 a0 01 08 00 00 00"
"7","2022-02-24 14:04:14,861000","","","CAN","32","STD: 0x00000727   01 01 04 00 04 00 00"
"8","2022-02-24 14:04:14,861000","","","CAN","32","STD: 0x00000470   c0 00 00 00 00 00 00 1f"
"9","2022-02-24 14:04:14,877000","","","CAN","32","STD: 0x00000050   00 05 00 05"
"10","2022-02-24 14:04:14,877000","","","CAN","32","STD: 0x00000550   00 00 00 00 00 00 00 00"
"11","2022-02-24 14:04:14,892000","","","CAN","32","STD: 0x00000050   00 05 10 15"
"12","2022-02-24 14:04:14,908000","","","CAN","32","STD: 0x00000320   02 02 00 01 00 0d 00 80"
"13","2022-02-24 14:04:14,908000","","","CAN","32","STD: 0x00000050   00 05 20 25"
"14","2022-02-24 14:04:14,923000","","","CAN","32","STD: 0x00000470   c0 00 00 00 00 00 00 1f"
"15","2022-02-24 14:04:14,923000","","","CAN","32","STD: 0x000005d0   85 02 50 0f 00 59 c0 00"
"16","2022-02-24 14:04:14,923000","","","CAN","32","STD: 0x00000320   02 02 00 01 00 0e 00 90"
"17","2022-02-24 14:04:14,923000","","","CAN","32","STD: 0x00000420   82 00 00 00 08 00 00 04"
"18","2022-02-24 14:04:14,939000","","","CAN","32","STD: 0x00000050   00 05 30 35"
"19","2022-02-24 14:04:14,939000","","","CAN","32","STD: 0x00000570   07 00 a0 05 00"
"20","2022-02-24 14:04:14,939000","","","CAN","32","STD: 0x0000035f   00 00 00 00 00 00 00 00"
"21","2022-02-24 14:04:14,939000","","","CAN","32","STD: 0x00000390   00 00 40 00 00 00 00 00"
"22","2022-02-24 14:04:14,939000","","","CAN","32","STD: 0x00000392   00 00 00 80 00 00 00 00"
