"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2022-02-24 14:02:40,025000","","","CAN","32","STD: 0x000005a0   7f 00 00 a0 00 00 00 2b"
"2","2022-02-24 14:02:40,025000","","","CAN","32","STD: 0x000003a0   05 0a 00 00 00 00 00 0f"
"3","2022-02-24 14:02:40,025000","","","CAN","32","STD: 0x000004a0   00 00 00 00 00 00 00 00"
"4","2022-02-24 14:02:40,025000","","","CAN","32","STD: 0x00000380   00 85 00 00 00 00 00 05"
"5","2022-02-24 14:02:40,025000","","","CAN","32","STD: 0x00000050   00 00 00 00"
"6","2022-02-24 14:02:40,025000","","","CAN","32","STD: 0x00000488   60 00 00 75 a5 ff ff b0"
"7","2022-02-24 14:02:40,025000","","","CAN","32","STD: 0x00000540   b0 00 00 00 00 00 20 00"
"8","2022-02-24 14:02:40,025000","","","CAN","32","STD: 0x00000550   00 00 00 00 00 00 00 00"
"9","2022-02-24 14:02:40,025000","","","CAN","32","STD: 0x000002a0   00 00 00 00 00 00 40 40"
"10","2022-02-24 14:02:40,025000","","","CAN","32","STD: 0x000001a0   00 00 00 00 00 fe 00 04"
"11","2022-02-24 14:02:40,041000","","","CAN","32","STD: 0x00000280   09 26 00 00 00 00 00 19"
"12","2022-02-24 14:02:40,041000","","","CAN","32","STD: 0x00000288   d4 b6 00 00 00 00 52 19"
"13","2022-02-24 14:02:40,041000","","","CAN","32","STD: 0x00000480   e2 2c 00 00 00 00 02 cc"
"14","2022-02-24 14:02:40,041000","","","CAN","32","STD: 0x0000048a   e2 00 00 00 00 02 00 e0"
"15","2022-02-24 14:02:40,041000","","","CAN","32","STD: 0x000004a8   fe 7f 00 20 00 00 a0 01"
"16","2022-02-24 14:02:40,041000","","","CAN","32","STD: 0x000004a0   00 00 00 00 00 00 00 00"
"17","2022-02-24 14:02:40,041000","","","CAN","32","STD: 0x00000380   00 85 00 00 00 00 00 05"
"18","2022-02-24 14:02:40,041000","","","CAN","32","STD: 0x00000488   10 00 00 75 a5 ff ff c0"
"19","2022-02-24 14:02:40,041000","","","CAN","32","STD: 0x00000540   c0 00 00 00 00 00 20 00"
"20","2022-02-24 14:02:40,041000","","","CAN","32","STD: 0x00000588   e8 00 75 80 00 00 00 88"
"21","2022-02-24 14:02:40,041000","","","CAN","32","STD: 0x000002a0   00 00 00 00 00 00 50 50"
"22","2022-02-24 14:02:40,041000","","","CAN","32","STD: 0x000001a0   00 00 00 00 00 fe 00 05"
"23","2022-02-24 14:02:40,041000","","","CAN","32","STD: 0x00000280   09 26 00 00 00 00 00 19"
"24","2022-02-24 14:02:40,041000","","","CAN","32","STD: 0x00000320   80 02 14 01 00 07 00 88"
"25","2022-02-24 14:02:40,041000","","","CAN","32","STD: 0x000005a0   7f 00 00 b0 00 00 00 2b"
"26","2022-02-24 14:02:40,041000","","","CAN","32","STD: 0x000003a0   04 0b 00 00 00 00 00 0f"
"27","2022-02-24 14:02:40,041000","","","CAN","32","STD: 0x000004a0   00 00 00 00 00 00 00 00"
"28","2022-02-24 14:02:40,041000","","","CAN","32","STD: 0x00000380   00 85 00 00 00 00 00 05"
"29","2022-02-24 14:02:40,041000","","","CAN","32","STD: 0x00000050   00 00 10 10"
"30","2022-02-24 14:02:40,041000","","","CAN","32","STD: 0x00000488   00 00 00 75 a5 ff ff d0"
"31","2022-02-24 14:02:40,041000","","","CAN","32","STD: 0x00000540   d0 00 00 00 00 00 20 00"
"32","2022-02-24 14:02:40,056000","","","CAN","32","STD: 0x000002a0   00 00 00 00 00 00 60 60"
"33","2022-02-24 14:02:40,056000","","","CAN","32","STD: 0x000001a0   00 00 00 00 00 fe 00 06"
"34","2022-02-24 14:02:40,056000","","","CAN","32","STD: 0x00000280   09 26 00 00 00 00 00 19"
"35","2022-02-24 14:02:40,056000","","","CAN","32","STD: 0x00000288   d4 b6 00 00 00 00 52 19"
"36","2022-02-24 14:02:40,056000","","","CAN","32","STD: 0x00000480   e2 2c 00 00 00 00 02 cc"
"37","2022-02-24 14:02:40,056000","","","CAN","32","STD: 0x0000048a   f2 00 00 00 00 02 00 f0"
"38","2022-02-24 14:02:40,056000","","","CAN","32","STD: 0x000004a8   fe 7f 00 20 00 00 b0 11"
"39","2022-02-24 14:02:40,056000","","","CAN","32","STD: 0x000004a0   00 00 00 00 00 00 00 00"
"40","2022-02-24 14:02:40,056000","","","CAN","32","STD: 0x00000380   00 85 00 00 00 00 00 05"
"41","2022-02-24 14:02:40,056000","","","CAN","32","STD: 0x00000470   c0 00 00 00 00 00 00 1f"
"42","2022-02-24 14:02:40,056000","","","CAN","32","STD: 0x00000488   30 00 00 75 a5 ff ff e0"
"43","2022-02-24 14:02:40,056000","","","CAN","32","STD: 0x00000540   e0 00 00 00 00 00 20 00"
